MID,SkillIndex,StartSuperArmor,SkillName,SkillNeedClass,SkillTreeSlotIndex,SkillLevel,FeeMP,RequireWeapon1,RequireWeapon2,weapon 1,weapon 2,SkillType,DurationType,TargetType,SkillTypeInfo,SkillCooldown,SkillMaxLevel,RequireCharLevel,RequiredSkill_1,RequiredSkill_1_name,RequiredSkill_1_lvl,RequiredSkill_2,RequiredSkill_2_name,RequiredSkill_2_lvl,RequiredSkill_3,RequiredSkill_3_name,RequiredSkill_3_lvl,class0,class1,class2,RequireClass0SP,RequireClass1SP,RequireClass2SP,RequireSP,ChangeSkillIndex,SkillExplanationID,SkillExplanationAll,SkillExplanation,SkillExplanationPara,SPMaxLevel,IconImageIndex,Element
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,1,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,1,,,0,,,0,,,0,ASSASSIN,,,0,0,0,0,,1000094874,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 120%,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%,120,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,2,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,4,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094874,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 123%,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%,123,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,3,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,7,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094874,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 126%,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%,126,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,4,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,10,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094874,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 129%,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%,129,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,5,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,13,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094874,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 132%,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%,132,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,6,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,16,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 147%\nMax Cooldown Charge: 1,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},147FUCK1,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,7,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,19,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 150%\nMax Cooldown Charge: 1,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},150FUCK1,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,8,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,22,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 153%\nMax Cooldown Charge: 1,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},153FUCK1,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,9,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,25,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 156%\nMax Cooldown Charge: 1,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},156FUCK1,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,10,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,28,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 159%\nMax Cooldown Charge: 1,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},159FUCK1,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,11,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,31,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 173%\nMax Cooldown Charge: 2,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},173FUCK2,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,12,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,34,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 176%\nMax Cooldown Charge: 2,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},176FUCK2,2,1800,None
1000055963,6001,1.0,Swift Cut,ASSASSIN,0,13,0.0,-1,-1,,,0,2,1,Debuff,6.0,29,37,,,0,,,0,,,0,ASSASSIN,,,0,0,0,1,,1000094875,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: 179%\nMax Cooldown Charge: 2,Delivers a quick slash to the enemy. Charges additional cooldown at skill levels 6 and 11.\n#yDamage: {5}%\nMax Cooldown Charge: {6},179FUCK2,2,1800,None
